step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label,current_congestion,future_congestion
0,1,0.0,0.0,1,Low,High,High
1,1,1.43,0.0,0,Low,High,High
2,1,3.45,0.0,0,Low,High,High
3,2,2.64,0.0,1,Low,High,Medium
4,2,3.05,0.0,0,Low,High,Medium
5,2,2.05,0.0,0,Low,High,Medium
6,3,2.32,0.0,1,Low,High,Medium
7,3,4.59,0.0,0,Low,High,Medium
8,3,6.81,0.0,0,Low,Medium,Medium
9,4,6.07,0.0,1,Low,Medium,Medium
10,4,7.44,0.0,0,Low,Medium,Medium
11,4,7.75,0.0,0,Low,Medium,Medium
12,5,6.31,0.0,1,Low,Medium,Medium
13,5,7.98,0.0,0,Low,Medium,Medium
14,4,9.38,0.0,0,Low,Medium,Medium
15,3,11.87,1.0,1,Low,Medium,Medium
16,4,10.26,0.0,1,Low,Medium,Medium
17,4,11.01,1.0,1,Low,Medium,Medium
18,4,12.77,0.0,0,Low,Medium,Medium
19,4,13.54,0.0,0,Low,Medium,Medium
20,5,10.93,0.0,1,Low,Medium,Medium
21,6,9.5,0.0,1,Low,Medium,Medium
22,6,9.6,0.0,0,Low,Medium,Medium
23,5,6.6,0.0,0,Low,Medium,Medium
24,6,5.43,0.0,1,Low,Medium,Medium
25,6,6.73,0.0,0,Low,Medium,Medium
26,6,7.32,0.0,0,Low,Medium,Medium
27,7,5.53,0.0,1,Low,Medium,Medium
28,6,5.88,0.0,0,Low,Medium,High
29,6,6.82,1.0,1,Low,Medium,High
30,7,6.57,0.0,1,Low,Medium,Medium
31,6,6.29,1.0,1,Low,Medium,Medium
32,6,5.17,2.0,1,Low,Medium,Medium
33,7,4.1,4.0,3,Low,High,Medium
34,7,4.42,7.0,3,Low,High,Medium
35,7,5.48,10.0,3,Low,Medium,Medium
36,8,5.16,7.0,3,Low,Medium,High
37,8,5.84,4.0,1,Low,Medium,High
38,7,6.13,5.0,1,Low,Medium,Medium
39,6,6.48,6.0,1,Low,Medium,Medium
40,6,5.41,7.0,1,Low,Medium,Medium
41,7,4.98,8.0,2,Low,High,Medium
42,8,4.53,10.0,3,Low,High,Medium
43,8,5.47,11.0,2,Low,Medium,Medium
44,6,5.39,13.0,2,Low,Medium,Medium
45,7,5.68,3.0,2,Low,Medium,Medium
46,7,6.71,0.0,0,Low,Medium,Medium
47,7,7.7,0.0,0,Low,Medium,Medium
48,8,6.85,0.0,1,Low,Medium,Medium
49,8,7.18,0.0,0,Low,Medium,Medium
50,7,5.61,0.0,0,Low,Medium,Medium
51,8,5.59,0.0,1,Low,Medium,Medium
52,7,6.69,0.0,0,Low,Medium,Medium
