time,loaded,inserted,running,waiting,ended,meanWaitingTime,meanTravelTime,meanSpeed
0.0,2,1,1,0,0,0.0,-1.0,0.0
1.0,2,1,1,0,0,0.0,-1.0,1.63
2.0,103,2,2,0,0,0.0,-1.0,1.63
3.0,103,2,2,0,0,0.0,-1.0,3.36
4.0,103,3,3,0,0,0.0,-1.0,3.46
5.0,103,3,3,0,0,0.0,-1.0,5.47
6.0,103,4,4,0,0,0.0,-1.0,5.57
7.0,103,4,4,0,0,0.0,-1.0,7.26
8.0,103,5,5,0,0,0.0,-1.0,7.41
9.0,103,5,5,0,0,0.0,-1.0,9.16
10.0,103,5,5,1,0,0.0,-1.0,9.43
11.0,103,6,6,0,0,0.17,-1.0,8.64
12.0,103,7,7,0,0,0.14,-1.0,8.68
13.0,103,7,7,0,0,0.14,-1.0,9.97
14.0,103,8,8,0,0,0.12,-1.0,9.46
15.0,103,8,8,0,0,0.12,-1.0,10.41
16.0,103,9,9,0,0,0.11,-1.0,10.1
17.0,103,9,9,0,0,0.11,-1.0,10.91
18.0,103,10,10,0,0,0.1,-1.0,11.22
19.0,103,10,10,0,0,0.1,-1.0,12.33
20.0,103,11,11,0,0,0.09,-1.0,11.46
21.0,103,11,11,0,0,0.09,-1.0,11.15
22.0,103,12,12,0,0,0.08,-1.0,10.09
23.0,103,12,12,0,0,0.08,-1.0,9.8
24.0,103,13,13,0,0,0.08,-1.0,9.03
25.0,103,13,13,0,0,0.08,-1.0,8.49
26.0,103,14,14,0,0,0.07,-1.0,7.52
27.0,103,14,14,0,0,0.07,-1.0,7.58
28.0,103,15,15,0,0,0.07,-1.0,7.4
29.0,103,15,15,0,0,0.07,-1.0,8.09
30.0,103,16,16,0,0,0.06,-1.0,8.65
31.0,103,16,16,0,0,0.06,-1.0,9.72
32.0,103,17,17,0,0,0.06,-1.0,9.51
33.0,103,17,17,0,0,0.06,-1.0,9.89
34.0,103,18,17,0,1,0.06,32.0,9.26
35.0,103,18,17,0,1,0.06,32.0,9.09
36.0,103,19,18,0,1,0.05,32.0,8.35
37.0,103,19,18,0,1,0.05,32.0,8.15
38.0,103,20,19,0,1,0.05,32.0,7.95
39.0,103,20,19,0,1,0.05,32.0,8.78
40.0,103,21,20,0,1,0.05,32.0,9.13
41.0,103,21,20,0,1,0.05,32.0,9.67
42.0,103,22,21,0,1,0.05,32.0,9.43
43.0,103,22,21,0,1,0.05,32.0,9.84
44.0,103,23,22,0,1,0.04,32.0,9.67
45.0,103,23,22,0,1,0.04,32.0,9.82
46.0,103,24,22,0,2,0.04,35.0,8.67
47.0,103,24,22,0,2,0.04,35.0,9.26
48.0,103,24,22,1,2,0.04,35.0,9.72
49.0,103,25,23,0,2,0.08,35.0,9.83
50.0,103,26,24,0,2,0.08,35.0,9.6
51.0,103,26,24,0,2,0.08,35.0,9.67
52.0,103,27,25,0,2,0.07,35.0,9.5
53.0,103,27,25,0,2,0.07,35.0,9.97
