vehicle_id,depart,arrival,duration,routeLength,waitingTime,waitingCount,timeLoss,departDelay
1,2.0,34.0,32.0,244.4,1.0,1,16.06,0.0
4,8.0,46.0,38.0,443.4,0.0,0,16.26,0.0
3,6.0,57.0,51.0,458.25,5.0,2,27.11,0.0
0,0.0,59.0,59.0,633.03,6.0,1,28.68,0.0
20,40.0,63.0,23.0,172.62,0.0,0,11.95,0.0
15,30.0,70.0,40.0,212.81,10.0,1,27.47,0.0
12,24.0,72.0,48.0,537.11,0.0,0,18.28,0.0
24,49.0,73.0,24.0,148.93,1.0,1,12.61,1.0
34,68.0,74.0,6.0,30.77,0.0,0,4.34,0.0
5,11.0,76.0,65.0,670.71,1.0,1,27.59,1.0
30,60.0,77.0,17.0,222.76,0.0,0,8.32,0.0
7,14.0,78.0,64.0,675.22,0.0,0,28.55,0.0
14,28.0,78.0,50.0,568.8,0.0,0,9.45,0.0
19,38.0,79.0,41.0,480.98,0.0,0,18.21,0.0
13,26.0,81.0,55.0,487.99,3.0,1,30.48,0.0
16,32.0,84.0,52.0,567.72,0.0,0,7.33,0.0
6,12.0,85.0,73.0,689.48,3.0,1,25.51,0.0
22,44.0,94.0,50.0,537.11,0.0,0,19.97,0.0
17,34.0,95.0,61.0,537.52,9.0,1,29.8,0.0
32,64.0,95.0,31.0,478.35,0.0,0,6.19,0.0
28,56.0,98.0,42.0,351.67,0.0,0,22.69,0.0
29,58.0,99.0,41.0,473.85,0.0,0,13.3,0.0
9,18.0,100.0,82.0,654.89,1.0,1,29.74,0.0
26,52.0,101.0,49.0,415.3,0.0,0,12.32,0.0
38,77.0,102.0,25.0,303.57,0.0,0,8.84,1.0
10,20.0,103.0,83.0,689.48,10.0,1,37.01,0.0
33,66.0,103.0,37.0,387.04,0.0,0,8.46,0.0
2,4.0,104.0,100.0,1268.16,0.0,0,17.12,0.0
27,57.0,106.0,49.0,504.94,2.0,1,23.03,3.0
43,86.0,108.0,22.0,222.93,0.0,0,9.41,0.0
25,50.0,110.0,60.0,668.27,0.0,0,8.27,0.0
21,42.0,112.0,70.0,655.48,1.0,1,24.6,0.0
40,80.0,115.0,35.0,244.03,0.0,0,19.32,0.0
41,82.0,118.0,36.0,244.4,4.0,2,21.12,0.0
11,22.0,123.0,101.0,1367.22,2.0,1,22.25,0.0
57,114.0,123.0,9.0,59.62,0.0,0,4.31,0.0
31,62.0,124.0,62.0,458.67,5.0,1,39.06,0.0
36,73.0,124.0,51.0,381.07,7.0,1,24.74,1.0
44,88.0,124.0,36.0,321.99,0.0,0,13.82,0.0
37,74.0,125.0,51.0,494.38,5.0,1,28.36,0.0
