step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label
0,1,0.0,0.0,1,Low
1,1,1.43,0.0,0,Low
2,1,3.45,0.0,0,Low
3,2,2.64,0.0,1,Low
4,2,3.05,0.0,0,Low
5,2,2.05,0.0,0,Low
6,3,2.32,0.0,1,Low
7,3,4.59,0.0,0,Low
8,3,6.81,0.0,0,Low
9,4,6.07,0.0,1,Low
10,4,7.44,0.0,0,Low
11,4,7.75,0.0,0,Low
12,5,6.31,0.0,1,Low
13,5,7.98,0.0,0,Low
14,4,9.38,0.0,0,Low
15,3,11.87,1.0,1,Low
16,4,10.26,0.0,1,Low
17,4,11.01,1.0,1,Low
18,4,12.77,0.0,0,Low
19,4,13.54,0.0,0,Low
20,5,10.93,0.0,1,Low
21,6,9.5,0.0,1,Low
22,6,9.6,0.0,0,Low
23,5,6.6,0.0,0,Low
24,6,5.43,0.0,1,Low
25,6,6.73,0.0,0,Low
26,6,7.32,0.0,0,Low
27,7,5.53,0.0,1,Low
28,6,5.88,0.0,0,Low
29,6,6.82,1.0,1,Low
30,7,6.57,0.0,1,Low
31,6,6.29,1.0,1,Low
32,6,5.17,2.0,1,Low
33,7,4.1,4.0,3,Low
34,7,4.42,7.0,3,Low
35,7,5.48,10.0,3,Low
36,8,5.16,7.0,3,Low
37,8,5.84,4.0,1,Low
38,7,6.13,5.0,1,Low
39,6,6.48,6.0,1,Low
40,6,5.41,7.0,1,Low
41,7,4.98,8.0,2,Low
42,8,4.53,10.0,3,Low
43,8,5.47,11.0,2,Low
44,6,5.39,13.0,2,Low
45,7,5.68,3.0,2,Low
46,7,6.71,0.0,0,Low
47,7,7.7,0.0,0,Low
48,8,6.85,0.0,1,Low
49,8,7.18,0.0,0,Low
50,7,5.61,0.0,0,Low
51,8,5.59,0.0,1,Low
52,7,6.69,0.0,0,Low
53,6,7.22,0.0,0,Low
54,6,6.01,0.0,1,Low
55,6,6.54,0.0,0,Low
56,6,7.49,0.0,0,Low
57,7,6.93,1.0,2,Low
58,6,7.7,2.0,1,Low
59,6,8.65,3.0,1,Low
60,7,6.86,4.0,2,Low
61,7,7.3,5.0,1,Low
62,7,7.69,6.0,1,Low
63,8,7.0,7.0,2,Low
64,8,8.09,8.0,1,Low
65,8,9.26,9.0,1,Low
66,7,5.62,0.0,1,Low
67,7,6.52,0.0,0,Low
68,7,7.55,0.0,0,Low
69,7,8.48,0.0,0,Low
70,7,7.1,0.0,1,Low
71,6,6.68,0.0,0,Low
72,6,7.53,0.0,0,Low
73,6,7.09,0.0,0,Low
74,7,5.92,0.0,1,Low
75,7,4.51,0.0,1,Low
76,5,4.06,0.0,0,Low
77,4,5.08,0.0,0,Low
78,5,4.18,0.0,1,Low
79,5,4.55,1.0,1,Low
80,4,4.82,2.0,1,Low
81,5,3.81,3.0,2,Low
82,5,4.43,5.0,2,Low
83,5,4.68,7.0,2,Low
84,6,3.52,9.0,3,Low
85,5,3.68,7.0,1,Low
86,5,4.29,8.0,1,Low
87,5,3.57,9.0,1,Low
88,5,3.99,10.0,1,Low
89,5,4.02,11.0,1,Low
90,7,3.73,0.0,2,Low
91,6,3.7,0.0,0,Low
92,6,5.36,0.0,0,Low
93,7,6.0,0.0,1,Low
94,6,5.45,1.0,1,Low
95,5,5.28,0.0,0,Low
96,6,4.42,0.0,1,Low
97,6,4.86,1.0,1,Low
98,6,5.18,2.0,1,Low
99,7,5.0,0.0,1,Low
100,7,5.16,1.0,1,Low
101,7,5.15,0.0,0,Low
102,8,4.98,0.0,1,Low
103,7,5.55,0.0,0,Low
104,7,6.92,0.0,0,Low
105,8,6.12,0.0,1,Low
106,7,5.65,0.0,0,Low
107,7,5.13,0.0,0,Low
108,7,4.72,1.0,1,Low
109,7,4.33,2.0,1,Low
110,7,4.47,3.0,1,Low
111,8,4.18,1.0,2,Low
112,8,5.42,0.0,0,Low
113,8,6.6,0.0,0,Low
114,9,6.91,0.0,1,Low
115,8,7.39,1.0,1,Low
116,8,7.88,0.0,0,Low
117,8,8.34,0.0,1,Low
118,7,9.0,0.0,0,Low
119,7,10.0,0.0,0,Low
120,8,8.86,0.0,2,Low
121,6,11.57,0.0,0,Low
122,5,12.62,0.0,0,Low
123,6,11.19,0.0,1,Low
124,6,11.71,0.0,0,Low
125,6,11.66,0.0,0,Low
126,6,9.56,0.0,1,Low
127,6,10.25,0.0,0,Low
128,6,10.86,0.0,0,Low
129,7,9.29,0.0,1,Low
130,6,10.73,0.0,0,Low
131,6,11.4,0.0,0,Low
132,6,12.52,0.0,0,Low
133,6,12.61,0.0,0,Low
134,6,12.69,0.0,0,Low
135,7,11.36,0.0,1,Low
136,8,10.98,0.0,1,Low
137,6,9.84,0.0,0,Low
138,6,11.15,0.0,0,Low
139,7,10.41,0.0,1,Low
140,7,11.25,0.0,0,Low
141,6,10.4,0.0,1,Low
142,6,11.27,0.0,0,Low
143,6,10.76,0.0,0,Low
144,7,9.08,0.0,1,Low
145,7,9.09,1.0,1,Low
146,7,9.45,3.0,2,Low
147,8,8.68,2.0,2,Low
148,8,9.46,1.0,1,Low
149,8,10.24,0.0,0,Low
150,9,10.02,0.0,1,Low
151,9,11.3,0.0,0,Low
152,9,11.5,0.0,0,Low
153,10,10.36,0.0,1,Low
154,9,9.03,0.0,0,Low
155,9,8.74,0.0,0,Low
156,9,8.96,0.0,1,Low
157,8,10.12,0.0,0,Low
158,7,11.37,0.0,0,Low
159,8,9.71,0.0,1,Low
160,8,10.89,0.0,0,Low
161,8,12.04,0.0,0,Low
162,8,11.63,0.0,1,Low
163,7,11.6,0.0,0,Low
164,7,10.24,0.0,0,Low
165,8,8.3,2.0,3,Low
166,8,8.46,2.0,1,Low
167,8,8.36,3.0,1,Low
168,8,8.58,1.0,1,Low
169,8,8.25,0.0,0,Low
170,7,8.44,1.0,1,Low
171,9,6.81,2.0,3,Low
172,9,7.51,3.0,1,Low
173,9,8.53,4.0,1,Low
174,9,8.4,5.0,2,Low
175,9,9.12,6.0,1,Low
176,8,9.99,7.0,1,Low
177,8,11.05,0.0,0,Low
178,7,12.96,0.0,0,Low
179,7,13.02,0.0,0,Low
180,6,13.05,0.0,0,Low
181,5,14.49,0.0,0,Low
182,5,14.44,0.0,0,Low
183,6,11.71,1.0,2,Low
184,6,11.76,2.0,1,Low
185,6,12.01,3.0,1,Low
186,7,10.87,4.0,2,Low
187,7,11.47,5.0,1,Low
188,7,11.0,6.0,1,Low
